Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_003015925.1	Pyricularia oryzae	ASM301592v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050088	2018-03-26	Fujian Agriculture and Forestry University	38383550	2938	53108	85748	60
GCA_003015935.1	Pyricularia oryzae	ASM301593v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050089	2018-03-26	Fujian Agriculture and Forestry University	39062630	2691	76666	124066	60
GCA_003015955.1	Pyricularia oryzae	ASM301595v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050090	2018-03-26	Fujian Agriculture and Forestry University	38253203	2684	65727	127319	60
GCA_003015975.2	Pyricularia oryzae	ASM301597v2	Contig	HGAP v. 5.0.1.10424	PacBio Sequel	PRJNA354675	SAMN06050092	2021-09-24	Fujian Agriculture and Forestry University	44637475	10	5637639	5637639	205
GCA_003016005.1	Pyricularia oryzae	ASM301600v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050094	2018-03-26	Fujian Agriculture and Forestry University	38311891	2928	64639	103825	60
GCA_003016015.1	Pyricularia oryzae	ASM301601v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050098	2018-03-26	Fujian Agriculture and Forestry University	38201480	2194	84089	86656	60
GCA_003016025.1	Pyricularia oryzae	ASM301602v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050099	2018-03-26	Fujian Agriculture and Forestry University	38180528	2878	62415	113961	60
GCA_003016035.1	Pyricularia oryzae	ASM301603v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050100	2018-03-26	Fujian Agriculture and Forestry University	37988177	2929	66373	120406	60
GCA_003016085.1	Pyricularia oryzae	ASM301608v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050103	2018-03-26	Fujian Agriculture and Forestry University	38556164	2969	68833	144157	60
GCA_003016095.1	Pyricularia oryzae	ASM301609v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050085	2018-03-26	Fujian Agriculture and Forestry University	38536878	2889	49242	81916	60
GCA_003016105.1	Pyricularia oryzae	ASM301610v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050087	2018-03-26	Fujian Agriculture and Forestry University	38559090	2831	76553	122171	60
GCA_003016115.1	Pyricularia oryzae	ASM301611v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050091	2018-03-26	Fujian Agriculture and Forestry University	38150992	2835	66607	120751	60
GCA_003016165.1	Pyricularia oryzae	ASM301616v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050093	2018-03-26	Fujian Agriculture and Forestry University	37502973	3351	38840	91606	60
GCA_003016175.1	Pyricularia oryzae	ASM301617v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050095	2018-03-26	Fujian Agriculture and Forestry University	37936538	2844	69063	115008	60
GCA_003016185.1	Pyricularia oryzae	ASM301618v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050096	2018-03-26	Fujian Agriculture and Forestry University	37400436	2081	61919	62944	60
GCA_003016195.1	Pyricularia oryzae	ASM301619v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050097	2018-03-26	Fujian Agriculture and Forestry University	37973670	2174	81400	87325	60
GCA_003016245.1	Pyricularia oryzae	ASM301624v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050102	2018-03-26	Fujian Agriculture and Forestry University	37946895	2188	103609	108101	60
GCA_003016255.1	Pyricularia oryzae	ASM301625v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050101	2018-03-26	Fujian Agriculture and Forestry University	38108148	2214	93761	95709	60
GCA_003016265.1	Pyricularia oryzae	ASM301626v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050105	2018-03-26	Fujian Agriculture and Forestry University	38465793	2356	93782	112616	60
GCA_003016275.1	Pyricularia oryzae	ASM301627v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050104	2018-03-26	Fujian Agriculture and Forestry University	38199718	2197	82576	90787	60
GCA_003016325.1	Pyricularia oryzae	ASM301632v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050106	2018-03-26	Fujian Agriculture and Forestry University	37601888	2697	63126	116871	60
GCA_003016385.1	Pyricularia oryzae	ASM301638v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050111	2018-03-26	Fujian Agriculture and Forestry University	39115722	3418	42494	67305	60
GCA_003016395.1	Pyricularia oryzae	ASM301639v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050115	2018-03-26	Fujian Agriculture and Forestry University	38329806	2572	80182	121898	60
GCA_003016415.1	Pyricularia oryzae	ASM301641v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050117	2018-03-26	Fujian Agriculture and Forestry University	39264239	2863	70726	113039	60
GCA_003016425.1	Pyricularia oryzae	ASM301642v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050124	2018-03-26	Fujian Agriculture and Forestry University	38879255	2892	68492	119600	60
GCA_003016465.1	Pyricularia oryzae	ASM301646v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050126	2018-03-26	Fujian Agriculture and Forestry University	39227576	2782	78875	114183	60
GCA_003016475.1	Pyricularia oryzae	ASM301647v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050128	2018-03-26	Fujian Agriculture and Forestry University	39025302	2991	64118	121346	60
GCA_003016495.1	Pyricularia oryzae	ASM301649v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050129	2018-03-26	Fujian Agriculture and Forestry University	39075819	2742	73433	123739	60
GCA_003016505.1	Pyricularia oryzae	ASM301650v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050131	2018-03-26	Fujian Agriculture and Forestry University	38977876	2878	71639	110758	60
GCA_003016545.1	Pyricularia oryzae	ASM301654v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050135	2018-03-26	Fujian Agriculture and Forestry University	38754264	2598	108643	145748	60
GCA_003016555.1	Pyricularia oryzae	ASM301655v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050136	2018-03-26	Fujian Agriculture and Forestry University	39303591	2873	84306	152964	60
GCA_003016575.1	Pyricularia oryzae	ASM301657v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050144	2018-03-26	Fujian Agriculture and Forestry University	37375355	2021	83101	114324	60
GCA_003016585.1	Pyricularia oryzae	ASM301658v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050142	2018-03-26	Fujian Agriculture and Forestry University	38723087	2518	75178	106915	60
GCA_003016625.1	Pyricularia oryzae	ASM301662v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050146	2018-03-26	Fujian Agriculture and Forestry University	37823351	2044	80343	81987	60
GCA_003016635.1	Pyricularia oryzae	ASM301663v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050147	2018-03-26	Fujian Agriculture and Forestry University	38622443	2137	93690	119229	60
GCA_003016655.1	Pyricularia oryzae	ASM301665v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050108	2018-03-26	Fujian Agriculture and Forestry University	38309819	2298	86067	88249	60
GCA_003016665.1	Pyricularia oryzae	ASM301666v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050107	2018-03-26	Fujian Agriculture and Forestry University	37636355	2110	85519	90344	60
GCA_003016705.1	Pyricularia oryzae	ASM301670v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050109	2018-03-26	Fujian Agriculture and Forestry University	39345505	3124	66815	96967	60
GCA_003016715.1	Pyricularia oryzae	ASM301671v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050110	2018-03-26	Fujian Agriculture and Forestry University	39293993	2758	68433	110651	60
GCA_003016725.1	Pyricularia oryzae	ASM301672v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050112	2018-03-26	Fujian Agriculture and Forestry University	39160722	3322	40868	69790	60
GCA_003016745.2	Pyricularia oryzae	ASM301674v2	Contig	HGAP v. 5.0.1.10424	PacBio Sequel	PRJNA354675	SAMN06050113	2021-09-24	Fujian Agriculture and Forestry University	46284791	16	6161260	6161260	144
GCA_003016785.1	Pyricularia oryzae	ASM301678v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050114	2018-03-26	Fujian Agriculture and Forestry University	38990986	3380	57130	114978	60
GCA_003016795.1	Pyricularia oryzae	ASM301679v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050116	2018-03-26	Fujian Agriculture and Forestry University	38719370	2669	74710	117377	60
GCA_003016805.1	Pyricularia oryzae	ASM301680v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050118	2018-03-26	Fujian Agriculture and Forestry University	38969147	2757	76034	123226	60
GCA_003016825.1	Pyricularia oryzae	ASM301682v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050119	2018-03-26	Fujian Agriculture and Forestry University	38700975	2738	70178	120862	60
GCA_003016855.1	Pyricularia oryzae	ASM301685v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050120	2018-03-26	Fujian Agriculture and Forestry University	38994734	2818	71960	106586	60
GCA_003016875.1	Pyricularia oryzae	ASM301687v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050121	2018-03-26	Fujian Agriculture and Forestry University	39029107	2668	68031	119949	60
GCA_003016895.1	Pyricularia oryzae	ASM301689v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050122	2018-03-26	Fujian Agriculture and Forestry University	39032477	2735	70711	121539	60
GCA_003016905.1	Pyricularia oryzae	ASM301690v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050123	2018-03-26	Fujian Agriculture and Forestry University	38673055	2901	64066	115595	60
GCA_003016935.1	Pyricularia oryzae	ASM301693v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050125	2018-03-26	Fujian Agriculture and Forestry University	38461384	3874	59424	106764	60
GCA_003016955.1	Pyricularia oryzae	ASM301695v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050127	2018-03-26	Fujian Agriculture and Forestry University	38749593	2617	72939	128591	60
GCA_003016965.1	Pyricularia oryzae	ASM301696v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050130	2018-03-26	Fujian Agriculture and Forestry University	38925638	2760	72132	116757	60
GCA_003016985.1	Pyricularia oryzae	ASM301698v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050132	2018-03-26	Fujian Agriculture and Forestry University	39072033	2802	68533	113814	60
GCA_003017025.1	Pyricularia oryzae	ASM301702v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050133	2018-03-26	Fujian Agriculture and Forestry University	39199722	2766	79322	119451	60
GCA_003017035.1	Pyricularia oryzae	ASM301703v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050134	2018-03-26	Fujian Agriculture and Forestry University	38654543	2743	72664	123365	60
GCA_003017045.1	Pyricularia oryzae	ASM301704v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050137	2018-03-26	Fujian Agriculture and Forestry University	39245967	2671	106499	134629	60
GCA_003017065.1	Pyricularia oryzae	ASM301706v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050138	2018-03-26	Fujian Agriculture and Forestry University	38796913	2428	102248	152858	60
GCA_003017115.1	Pyricularia oryzae	ASM301711v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050139	2018-03-26	Fujian Agriculture and Forestry University	38821611	2296	98154	149869	60
GCA_003017125.1	Pyricularia oryzae	ASM301712v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050140	2018-03-26	Fujian Agriculture and Forestry University	39311923	3047	99137	133377	60
GCA_003017165.1	Pyricularia oryzae	ASM301716v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050143	2018-03-26	Fujian Agriculture and Forestry University	37251599	1932	90074	117106	60
GCA_003017175.1	Pyricularia oryzae	ASM301717v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050141	2018-03-26	Fujian Agriculture and Forestry University	39313667	2790	91013	133287	60
GCA_003017255.1	Pyricularia oryzae	ASM301725v1	Scaffold	CLC NGS Cell v. 7.0	Illumina HiSeq	PRJNA354675	SAMN06050145	2018-03-26	Fujian Agriculture and Forestry University	37851311	2054	81284	85055	60
GCA_003991345.1	Pyricularia oryzae	ASM399134v1	Scaffold	Velvet v. 1.2.08	Illumina HiSeq	PRJNA438312	SAMN08712647	2019-01-03	Kasetsart University	39554992	5275	21833	108598	46
GCA_004346965.1	Pyricularia oryzae	ASM434696v1	Complete Genome	HGAP v. 3	PacBio RSII; Illumina MiSeq	PRJNA507314	SAMN10491321	2019-03-12	Academia Sinica	42703282	7	6129159	6129159	250
GCA_004785725.2	Pyricularia oryzae	ASM478572v2	Chromosome	Canu v. 1.9	Oxford Nanopore MiniION	PRJNA355407	SAMN06076154	2021-03-15	Kansas State University	44811409	10	6474281	6668242	280
GCA_011799905.1	Pyricularia oryzae	ASM1179990v1	Contig	HGAP v. 4	PacBio Sequel	PRJNA556096	SAMN12340662	2020-03-31	Fujian Agriculture and Forestry University	43369826	13	5454130	5454130	159
GCA_011799915.1	Pyricularia oryzae	ASM1179991v1	Contig	HGAP v. 4	PacBio Sequel	PRJNA556096	SAMN12340660	2020-03-31	Fujian Agriculture and Forestry University	46284791	16	6161260	6161260	144
GCA_011799925.1	Pyricularia oryzae	ASM1179992v1	Contig	HGAP v. 4	PacBio Sequel	PRJNA556096	SAMN12340661	2020-03-31	Fujian Agriculture and Forestry University	44637475	10	5637639	5637639	205
GCA_011799965.1	Pyricularia oryzae	ASM1179996v1	Contig	HGAP v. 4	PacBio Sequel	PRJNA556096	SAMN12340659	2020-03-31	Fujian Agriculture and Forestry University	44970614	13	5503597	5503597	202
GCA_012272995.1	Pyricularia oryzae	ASM1227299v1	Complete Genome	Canu v. 2.0	Oxford Nanopore MiniION	PRJNA579424	SAMN14533965	2020-04-12	University of Kentucky	45612971	9	6155580	6155580	50
GCA_012490805.1	Pyricularia oryzae	ASM1249080v1	Contig	SPAdes v. 3.13.0	Illumina Solexa	PRJNA610476	SAMN14557268	2020-04-17	CAAS,Chinese Academy of Agricultural Sciences	40186092	4727	11731	11731	150
GCA_012490815.1	Pyricularia oryzae	ASM1249081v1	Contig	SPAdes v. 3.13.0	Illumina Solexa	PRJNA610476	SAMN14329444	2020-04-17	CAAS,Chinese Academy of Agricultural Sciences	38497009	4774	10922	10922	150
GCA_012596185.1	Pyricularia oryzae	EtKY19-1	Scaffold	Velvet v. 1.2.10	Illumina MiSeq	PRJNA604303	SAMN13964779	2020-04-21	University of Kentucky	42436810	11465	21636	83832	43
GCA_012654035.1	Pyricularia oryzae	ASM1265403v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14167125	2020-04-22	International Wheat Blast Consortium	45525518	172	778082	778082	33
GCA_012654075.1	Pyricularia oryzae	ASM1265407v1	Scaffold	Newbler v. 2.6	Illumina MiSeq	PRJNA320483	SAMN14167126	2020-04-22	International Wheat Blast Consortium	42563887	4147	32504	135136	35
GCA_012654105.1	Pyricularia oryzae	ASM1265410v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14167124	2020-04-22	International Wheat Blast Consortium	42018348	4249	30649	77760	27
GCA_012654115.1	Pyricularia oryzae	ASM1265411v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14167122	2020-04-22	International Wheat Blast Consortium	45684507	30	5510653	5982914	32
GCA_012654135.1	Pyricularia oryzae	ASM1265413v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14167123	2020-04-22	International Wheat Blast Consortium	36783302	3178	58039	82256	31
GCA_012922935.1	Pyricularia oryzae	ASM1292293v1	Scaffold	CLC genomic workbench v. 7.0	Illumina HiSeq	PRJNA544882	SAMN11866126	2020-04-28	Fujian Agriculture and Forestry University	38083458	2701	60992	107099	34
GCA_012978415.1	Pyricularia oryzae	ASM1297841v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144147	2020-05-06	International Wheat Blast Consortium	41760938	6103	30563	49043	38
GCA_012978435.1	Pyricularia oryzae	ASM1297843v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144141	2020-05-06	International Wheat Blast Consortium	39247142	2510	35129	140086	38
GCA_012978465.1	Pyricularia oryzae	ASM1297846v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144146	2020-05-06	International Wheat Blast Consortium	40283419	15979	4254	5516	36
GCA_012978495.1	Pyricularia oryzae	ASM1297849v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144140	2020-05-06	International Wheat Blast Consortium	40104735	4713	22659	60051	40
GCA_012978505.1	Pyricularia oryzae	ASM1297850v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144139	2020-05-06	International Wheat Blast Consortium	40318458	4418	24448	61609	32
GCA_012978515.1	Pyricularia oryzae	ASM1297851v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144138	2020-05-06	International Wheat Blast Consortium	43555119	4133	25498	48617	40
GCA_012979075.1	Pyricularia oryzae	ASM1297907v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144137	2020-05-06	International Wheat Blast Consortium	43478302	6539	15957	24344	35
GCA_012979135.1	Pyricularia oryzae	ASM1297913v1	Scaffold	Velvet v. 1.2.13	Illumina MiniSeq	PRJNA607937	SAMN14153276	2020-05-06	University of Kentucky	42823219	8132	26228	128958	42
GCA_013423085.1	Pyricularia oryzae	ASM1342308v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14603776	2020-07-17	International Wheat Blast Consortium	40754864	4189	31745	113793	31
GCA_013423095.1	Pyricularia oryzae	ASM1342309v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14603775	2020-07-17	International Wheat Blast Consortium	40185200	5541	23185	61060	30
GCA_013423135.1	Pyricularia oryzae	ASM1342313v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14603777	2020-07-17	International Wheat Blast Consortium	42595444	6411	28094	63324	30
GCA_013423145.1	Pyricularia oryzae	ASM1342314v1	Scaffold	Newbler v. 2.6	Illumina MiSeq	PRJNA320483	SAMN14603773	2020-07-17	International Wheat Blast Consortium	40283415	15979	4254	5516	28
GCA_013423165.1	Pyricularia oryzae	ASM1342316v1	Scaffold	Newbler v. 2.9	Illumina MiSeq	PRJNA320483	SAMN14603774	2020-07-17	International Wheat Blast Consortium	39295922	3944	36957	105402	32
GCA_017589535.1	Pyricularia oryzae	ASM1758953v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144144	2021-03-26	International Wheat Blast Consortium	41010760	7101	21312	28568	35
GCA_017589555.1	Pyricularia oryzae	ASM1758955v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144143	2021-03-26	International Wheat Blast Consortium	43681297	5438	21180	55278	39
GCA_017589565.1	Pyricularia oryzae	ASM1758956v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144142	2021-03-26	International Wheat Blast Consortium	41448936	3324	30838	285670	40
GCA_017589575.1	Pyricularia oryzae	ASM1758957v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14144145	2021-03-26	International Wheat Blast Consortium	40752054	4377	38952	81573	37
GCA_019775995.1	Pyricularia oryzae	ASM1977599v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14151737	2021-08-26	International Wheat Blast Consortium	40916473	5477	22419	49266	35
GCA_019776005.1	Pyricularia oryzae	ASM1977600v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA320483	SAMN14151738	2021-08-26	International Wheat Blast Consortium	42854431	8586	14468	141061	40
GCA_021442365.1	Pyricularia oryzae	FMB_K23123	Contig	SPAdes v. 3.11.1; Canu v. 1.6	PacBio; Illumina MiSeq	PRJNA418767	SAMN08033374	2022-01-12	University of Bedfordshire	42583001	21	5380831	5380831	244
GCA_021764705.1	Pyricularia oryzae	ASM2176470v1	Chromosome	NextDenovo v. v2.4	Oxford Nanopore; Illumina NextSeq	PRJNA799857	SAMN25211060	2022-02-01	Huazhong Agricultural University	45746719	14	5527333	7493747	210
GCA_021845515.1	Pyricularia oryzae	ASM2184551v1	Contig	Celera Assembler v. 1.6; SPAdes v. 3.5	PacBio; Illumina MiSeq	PRJNA418767	SAMN12142210	2022-02-01	University of Bedfordshire	44150490	31	4729682	4729682	275
GCA_024703655.1	Pyricularia oryzae	ASM2470365v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040832	2022-08-16	University of Bedfordshire	41826558	779	111131	119768	115
GCA_024703665.1	Pyricularia oryzae	ASM2470366v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040831	2022-08-16	University of Bedfordshire	41920817	823	101478	108517	110
GCA_024703685.1	Pyricularia oryzae	ASM2470368v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15098633	2022-08-16	University of Bedfordshire	41595240	915	93003	98454	81
GCA_024703975.1	Pyricularia oryzae	ASM2470397v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15098632	2022-08-16	University of Bedfordshire	41662384	1231	89522	92250	105
GCA_024704035.1	Pyricularia oryzae	ASM2470403v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040829	2022-08-16	University of Bedfordshire	41829476	781	112307	121279	105
GCA_024704055.1	Pyricularia oryzae	ASM2470405v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040828	2022-08-16	University of Bedfordshire	42217637	874	115225	117140	120
GCA_024704115.1	Pyricularia oryzae	ASM2470411v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040827	2022-08-16	University of Bedfordshire	41823963	758	114140	120504	105
GCA_024704145.1	Pyricularia oryzae	ASM2470414v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040825	2022-08-16	University of Bedfordshire	43610565	1883	65963	71939	99
GCA_024704165.1	Pyricularia oryzae	ASM2470416v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040824	2022-08-16	University of Bedfordshire	41684766	736	119664	126716	117
GCA_024704195.1	Pyricularia oryzae	ASM2470419v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040823	2022-08-16	University of Bedfordshire	42341518	928	109493	113874	107
GCA_024704225.1	Pyricularia oryzae	ASM2470422v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040822	2022-08-16	University of Bedfordshire	41818156	877	97358	101041	83
GCA_024704235.1	Pyricularia oryzae	ASM2470423v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040821	2022-08-16	University of Bedfordshire	41361883	827	100178	104337	87
GCA_024704255.1	Pyricularia oryzae	ASM2470425v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040820	2022-08-16	University of Bedfordshire	41929093	804	97895	108005	98
GCA_024704275.1	Pyricularia oryzae	ASM2470427v1	Scaffold	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN15040819	2022-08-16	University of Bedfordshire	41609711	791	114158	114863	90
GCA_024704305.1	Pyricularia oryzae	ASM2470430v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143020	2022-08-16	University of Bedfordshire	41553633	1705	52099	52099	105.03
GCA_024704315.1	Pyricularia oryzae	ASM2470431v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143019	2022-08-16	University of Bedfordshire	42254231	1367	59266	59266	110.35
GCA_024704335.1	Pyricularia oryzae	ASM2470433v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143018	2022-08-16	University of Bedfordshire	41548171	1367	58114	58114	104.82
GCA_024704405.1	Pyricularia oryzae	ASM2470440v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143017	2022-08-16	University of Bedfordshire	42182491	1008	122529	122529	99.8
GCA_024704415.1	Pyricularia oryzae	ASM2470441v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143016	2022-08-16	University of Bedfordshire	42509517	726	135039	135039	114
GCA_024704445.1	Pyricularia oryzae	ASM2470444v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143015	2022-08-16	University of Bedfordshire	42543665	1291	66396	66396	121.63
GCA_024704475.1	Pyricularia oryzae	ASM2470447v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143014	2022-08-16	University of Bedfordshire	42163530	2250	34966	34966	96.66
GCA_024704485.1	Pyricularia oryzae	ASM2470448v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143013	2022-08-16	University of Bedfordshire	42785286	1793	45195	45195	72.03
