accession	organism_name	strain	tax_id	assembly_level	assembly_status	release_date	submitter	refseq_category	sequencing_tech_raw	tech_category	biosample_accession	host	isolation_source	geo_loc_name	collection_date	total_sequence_length	total_ungapped_length	number_of_contigs	contig_n50	contig_l50	number_of_scaffolds	scaffold_n50	scaffold_l50	total_number_of_chromosomes	gc_percent	assembly_name	is_t2t_flagged	is_gapless_chromosome_level
GCA_050141165.1	Pyricularia oryzae	HCT7	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111384	Oryza sativa		China: Fujian	2023	40376776	40376776	66	4779076	4	66	4779076	4		51	ASM5014116v1	False	False
GCA_021845515.1	Pyricularia oryzae	E34	318829	Contig	current	2022-02-01	University of Bedfordshire		PacBio; Illumina MiSeq	hybrid (long-read+short-read)	SAMN12142210	Eleucine coracana	neck blast	Ethiopia: Diga	2016	44150490	44150490	31	4729682	3	31	4729682	3		50	ASM2184551v1	False	False
GCA_050141255.1	Pyricularia oryzae	95HPH-3	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111380	Oryza sativa		China: Fujian	2023	48373624	48373624	112	4608212	4	112	4608212	4		51	ASM5014125v1	False	False
GCA_905067045.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473264			Italy	2010	46086469	46086469	36	4555161	5	36	4555161	5		51	AG002_contigs_polished	False	False
GCA_025473445.1	Pyricularia oryzae	Rep1-buf1#4	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714322	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2019	44393497	44393497	33	4365759	4	33	4365759	4		51	ASM2547344v1	False	False
GCA_900474225.2	Pyricularia oryzae		318829	Contig	current	2018-12-06	THE SAINSBURY LABORATORY		minION	long-read	SAMEA4708257					44506711	44506711	59	4344896	4	59	4344896	4		50	BTJP4_1_contigs	False	False
GCA_050141285.1	Pyricularia oryzae	95HPH-2	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111379	Oryza sativa		China: Fujian	2023	49011405	49011405	112	4300898	5	112	4300898	5		51	ASM5014128v1	False	False
GCA_050141325.1	Pyricularia oryzae	95HPH-1	318829	Contig	current	2025-05-05	Fujian Agriculture and Forestry University		PacBio Sequel	long-read	SAMN43111378	Oryza sativa		China: Fujian	2023	46780765	46780765	54	4273260	5	54	4273260	5		51	ASM5014132v1	False	False
GCA_025473275.1	Pyricularia oryzae	Rep1-buf1#6	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714324	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2019	44459350	44459350	73	4188193	5	73	4188193	5		51	ASM2547327v1	False	False
GCA_002368475.1	Pyricularia oryzae	FJ81278	318829	Contig	current	2017-09-26	Fujian Agriculture and Forestry University		PacBio	long-read	SAMN06050152	Oryza sativa	not collected	China: Fujian	1981	43846566	43846566	54	4134126	5	54	4134126	5		51	ASM236847v1	False	False
GCA_905067085.2	Pyricularia oryzae		318829	Contig	current	2020-12-16	THE SAINSBURY LABORATORY		Oxford Nanopore,Illumina	hybrid (long-read+short-read)	SAMEA7473259			Italy	2001	48509714	48509714	35	4122582	5	35	4122582	5		50.5	SAndrea_contigs_polished	False	False
GCA_900474435.2	Pyricularia oryzae		318829	Contig	current	2018-12-06	THE SAINSBURY LABORATORY		minION	long-read	SAMEA4708264					44234332	44234332	57	3705381	5	57	3705381	5		50	BTGP6F_contigs	False	False
GCA_025473265.1	Pyricularia oryzae	Rep4-buf1#1	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714326	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2021	44674728	44674728	64	3420154	5	64	3420154	5		51	ASM2547326v1	False	False
GCA_025473255.1	Pyricularia oryzae	Rep4-buf1#13	318829	Scaffold	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714328	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2021	45519630	45519530	124	3333742	6	123	3333742	6		51	ASM2547325v1	False	False
GCA_002368485.1	Pyricularia oryzae	GUY11	318829	Contig	current	2017-09-26	Fujian Agriculture and Forestry University		PacBio	long-read	SAMN06050153	Oryza sativa	not collected	Guyana	1978	42869699	42869699	56	3275692	5	56	3275692	5		51	ASM236848v1	False	False
GCA_025727595.1	Pyricularia oryzae	KEN54-20	318829	Contig	current	2022-10-17	The Sainsbury Laboratory		Oxford Nanopore MinION; Illumina	hybrid (long-read+short-read)	SAMN30921126	rice		Japan	1954	47905671	47905671	39	3032991	5	39	3032991	5		51	ASM2572759v1	False	False
GCA_025473285.1	Pyricularia oryzae	Rep4-buf1#5	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714327	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2021	44722005	44722005	88	2984647	6	88	2984647	6		51	ASM2547328v1	False	False
GCA_900474635.2	Pyricularia oryzae		318829	Contig	current	2018-12-06	THE SAINSBURY LABORATORY		minION	long-read	SAMEA4708263					44406101	44406101	74	2814025	6	74	2814025	6		50	BTGP1b_contigs	False	False
GCA_900474175.3	Pyricularia oryzae		318829	Contig	current	2020-01-16	THE SAINSBURY LABORATORY		Oxford Nanopore	long-read	SAMEA4708259					45580691	45580691	55	2812411	5	55	2812411	5		50.5	US71_genome_polished_no_mito	False	False
GCA_026170115.1	Pyricularia oryzae	Rep1-bas4#3	318829	Contig	current	2022-11-14	Kansas state University		Oxford Nanopore MinION	long-read	SAMN29985040	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2022	45835137	45835137	204	1845737	8	204	1845737	8		51	Rep1-bas4#3	False	False
GCA_025473295.1	Pyricularia oryzae	Rep1-buf1#10	318829	Scaffold	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714325	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2019	45007896	45007796	136	1562235	7	135	1562235	7		51	ASM2547329v1	False	False
GCA_025473575.1	Pyricularia oryzae	Rep1-buf1#2	318829	Contig	current	2022-09-28	Kansas state University		Oxford Nanopore MinION	long-read	SAMN20714321	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2019	44816243	44816243	182	1337757	10	182	1337757	10		51	ASM2547357v1	False	False
GCA_911175055.1	Pyricularia oryzae		318829	Contig	current	2021-07-19	THE SAINSBURY LABORATORY		Oxford Nanopore	long-read	SAMEA9124609	Triticum aestivum				41159917	41159917	115	880253	15	115	880253	15		50	N06047_contigs	False	False
GCA_944612285.1	Pyricularia oryzae		318829	Contig	current	2022-07-15	iwate biotechnology research center		PacBio,Illumina	hybrid (long-read+short-read)	SAMEA110144966	Hordeum vulgare		Thailand		41519998	41519998	129	865826	11	129	865826	11		51.5	TH3o_contigs_polished	False	False
GCA_026170125.1	Pyricularia oryzae	Rep1-bas4#11	318829	Contig	current	2022-11-14	Kansas state University		Oxford Nanopore MinION	long-read	SAMN29985041	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2022	45796476	45796476	263	849061	15	263	849061	15		51	Rep1-bas4#11	False	False
GCA_026170135.1	Pyricularia oryzae	Rep1-bas4#2	318829	Contig	current	2022-11-14	Kansas state University		Oxford Nanopore MinION	long-read	SAMN29985039	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain	2022	45520154	45520154	232	845321	12	232	845321	12		51	Rep1-bas4#2	False	False
GCA_012654035.1	Pyricularia oryzae	Lh88405	318829	Scaffold	current	2020-04-22	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN14167125			not applicable	not applicable	45525518	45505674	172	778082	15	166	778082	15		51	ASM1265403v1	False	False
GCA_001853415.3	Pyricularia oryzae	RMg-Dl	318829	Contig	current	2021-10-21	CRP on Genomics of ICAR, New Delhi		Illumina HiSeq; PacBio RSII	hybrid (long-read+short-read)	SAMN05425585	Oryza sativa	Leaf sample affected by blast disease	India: Madhubani, Bihar	2012	42437481	42437481	375	524210	21	375	524210	21		51	ASM185341v3	False	False
GCA_052857355.1	Pyricularia oryzae	YN355	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000527	Oryza sativa		China: Yunnan	2008-09-24	36592387	36366633	1686	163518	57	629	465008	26		52	ASM5285735v1	False	False
GCA_052857475.1	Pyricularia oryzae	YN271	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000522	Oryza sativa		China: Yunnan	2011-08-12	36834101	36570339	1775	159555	62	649	450787	25		52	ASM5285747v1	False	False
GCA_052857555.1	Pyricularia oryzae	YN239	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000519	Oryza sativa		China: Yunnan	2011-08-12	36796852	36535097	1925	153834	67	693	466977	26		52	ASM5285755v1	False	False
GCA_002218345.1	Pyricularia oryzae	H08-1a	318829	Contig	current	2017-07-14	huazhong agricultural university		Illumina HiSeq	short-read	SAMN07267886	Oryza sativa Fuyou802	missing	China:Enshi	2015-10	39383118	39383118	2695	153342	61	2695	153342	61		51	H08-1a_0.9	False	False
GCA_052857915.1	Pyricularia oryzae	YN137	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000504	Oryza sativa		China: Yunnan	2008-09-24	36537077	36336156	1590	146545	68	642	468649	24		52	ASM5285791v1	False	False
GCA_052856995.1	Pyricularia oryzae	YN396	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000535	Oryza sativa		China: Yunnan	2008-09-24	36657831	36422634	1656	143393	72	633	382272	26		52	ASM5285699v1	False	False
GCA_052857415.1	Pyricularia oryzae	YN352	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000526	Oryza sativa		China: Yunnan	2011-08-12	36513367	36306209	1650	141211	71	640	401798	25		52	ASM5285741v1	False	False
GCA_052856025.1	Pyricularia oryzae	YN694	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000578	Oryza sativa		China: Yunnan	2008-09-24	36390158	36176824	1609	141178	71	636	396472	26		52	ASM5285602v1	False	False
GCA_024704415.1	Pyricularia oryzae	U47	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143016	Eleucine coracana	neck blast	Uganda: Hoima	2016	42509517	42509517	726	135039	91	726	135039	91		50	ASM2470441v1	False	False
GCA_052858085.1	Pyricularia oryzae	YN047	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000493	Oryza sativa		China: Yunnan	2008-09-12	36482564	36284223	1601	134486	80	660	471662	25		52	ASM5285808v1	False	False
GCA_052858005.1	Pyricularia oryzae	YN097	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000497	Oryza sativa		China: Yunnan	2007-10-08	36060443	35857130	1537	130443	75	634	333753	32		52	ASM5285800v1	False	False
GCA_052856535.1	Pyricularia oryzae	YN544	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000558	Oryza sativa		China: Yunnan	2011-08-12	36111846	35890061	1698	130035	80	651	337629	30		52	ASM5285653v1	False	False
GCA_052857715.1	Pyricularia oryzae	YN199	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000512	Oryza sativa		China: Yunnan	2011-08-12	36055315	35837424	1628	130034	73	639	337730	29		52	ASM5285771v1	False	False
GCA_052857455.1	Pyricularia oryzae	YN283	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000523	Oryza sativa		China: Yunnan	2007-10-08	36346230	36116989	1638	128405	77	618	356503	26		52	ASM5285745v1	False	False
GCA_052857595.1	Pyricularia oryzae	YN228	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000517	Oryza sativa		China: Yunnan	2008-09-24	36295397	36075413	1632	127630	69	625	450646	25		52	ASM5285759v1	False	False
GCA_052855965.1	Pyricularia oryzae	YN714	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000579	Oryza sativa		China: Yunnan	2007-10-08	36504568	36249815	1941	126450	77	676	465211	26		52	ASM5285596v1	False	False
GCA_024704405.1	Pyricularia oryzae	E7	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143017	Eleucine coracana	neck blast	Ethiopia: Diga	2015	42182491	42182491	1008	122529	102	1008	122529	102		50	ASM2470440v1	False	False
GCA_024704165.1	Pyricularia oryzae	D15/s6	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040824	Eleucine coracana	panicle	Uganda:Soroti	2000	41684766	41683586	736	119664	106	673	126716	100		50	ASM2470416v1	False	False
GCA_003015395.1	Pyricularia oryzae	13FM-24-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050061	Oryza sativa	not collected	China: Yunnan	2013	38568685	38551000	2034	119331	85	1772	126393	77		51.5	ASM301539v1	False	False
GCA_031208725.1	Pyricularia oryzae	UFVPY171	318829	Contig	current	2023-09-07	University of Kentucky		Illumina NovaSeq	short-read	SAMN33023214	Urochloa brizantha		Brazil	2018	39770362	39770362	1978	118202	101	1978	118202	101		51	ASM3120872v1	False	False
GCA_025135345.1	Pyricularia oryzae	ZJG1	318829	Scaffold	current	2022-09-12	Jilin Academy of Agricultural Sciences		Illumina NovaSeq	short-read	SAMN26750225	Oryza sativa (Jijing 88 variety)		China: Gongzhuling	2016-09-11	37841042	37837653	1034	117886	83	1004	123987	78		51.5	ZJG1M_oryza	False	False
GCA_024704055.1	Pyricularia oryzae	D10/s71	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040828	Eleusine indica	leaf	Uganda:Apac	2002	42217637	42216564	874	115225	105	826	117140	102		50	ASM2470405v1	False	False
GCA_024704275.1	Pyricularia oryzae	K65/159w	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040819	Eleusine indica	panicle	Kenya: Alupe/Teso	2002	41609711	41608891	791	114158	119	742	114863	114		50	ASM2470427v1	False	False
GCA_024704115.1	Pyricularia oryzae	D9/s50	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040827	Eleusine indica	panicle	Uganda:Lira	2002	41823963	41822981	758	114140	108	710	120504	100		50	ASM2470411v1	False	False
GCA_003015385.1	Pyricularia oryzae	13FM-16-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050060	Oryza sativa	not collected	China: Yunnan	2013	38390054	38372099	1902	113853	98	1648	122137	90		51.5	ASM301538v1	False	False
GCA_003015425.1	Pyricularia oryzae	13FM-5-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050063	Oryza sativa	not collected	China: Yunnan	2013	38475208	38453333	2101	112638	92	1820	128693	86		51.5	ASM301542v1	False	False
GCA_052855925.1	Pyricularia oryzae	YN716	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000580	Oryza sativa		China: Yunnan	2007-10-08	35919248	35746141	1481	112488	92	576	340729	28		52	ASM5285592v1	False	False
GCA_024704035.1	Pyricularia oryzae	D10/s9	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040829	Eleucine coracana	panicle	Uganda:Apac	2000	41829476	41827918	781	112307	111	716	121279	106		50	ASM2470403v1	False	False
GCA_002218485.1	Pyricularia oryzae	P-0029	318829	Scaffold	current	2017-07-14	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN05898532	Bromus	leaf lesion	Paraguay: Itapua, Captan Miranda	2014-08	42445515	42394188	1314	112150	113	818	196071	63		50	ASM221848v1	False	False
GCA_024703655.1	Pyricularia oryzae	D1/s50	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040832	Eleucine coracana	panicle	Uganda:Pallisa	2002	41826558	41825507	779	111131	116	723	119768	108		50	ASM2470365v1	False	False
GCA_052858025.1	Pyricularia oryzae	YN093	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000495	Oryza sativa		China: Yunnan	2007-10-08	35375454	35187831	1567	110809	84	623	340594	30		52	ASM5285802v1	False	False
GCA_002218475.1	Pyricularia oryzae	P-0028	318829	Scaffold	current	2017-07-14	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN05864041	Bromus	leaf lesion	Paraguay: Itapua, Captan Miranda	2014-08	42988316	42903356	1688	110556	103	1038	207207	57		50	P-0028	False	False
GCA_002218425.1	Pyricularia oryzae	Py22.1	318829	Scaffold	current	2017-07-14	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN05725179	Triticum aestivum		Brazil: Parana	2007	42437008	42430725	988	110009	117	900	114284	111		50	Py22.1	False	False
GCA_024704195.1	Pyricularia oryzae	K17	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040823	Eleusine coracana subsp. africana	neck	Kenya:Kakamega	2016	42341518	42340715	928	109493	122	879	113874	119		50	ASM2470419v1	False	False
GCA_003015405.1	Pyricularia oryzae	13FM-3-2	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050062	Oryza sativa	not collected	China: Yunnan	2013	38865278	38838448	2193	108988	92	1849	122072	84		51.5	ASM301540v1	False	False
GCA_052856045.1	Pyricularia oryzae	YN690	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000577	Oryza sativa		China: Yunnan	2008-09-24	36050013	35876749	1509	108750	89	587	401822	27		52	ASM5285604v1	False	False
GCA_052855945.1	Pyricularia oryzae	YN718	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000581	Oryza sativa		China: Yunnan	1994-10-23	36195685	35961240	1679	108666	93	606	421978	26		52	ASM5285594v1	False	False
GCA_003016545.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050135	Oryza sativa	not collected	China: Yunnan	2007	38754264	38711045	2598	108643	101	2052	145748	72		51.5	ASM301654v1	False	False
GCA_003017045.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050137	Oryza sativa	not collected	China: Yunnan	2007	39245967	39204131	2671	106499	97	2185	134629	74		51	ASM301704v1	False	False
GCA_003015465.1	Pyricularia oryzae	13FM-9-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050064	Oryza sativa	not collected	China: Yunnan	2013	38807663	38791118	2134	106359	101	1885	112636	89		51.5	ASM301546v1	False	False
GCA_025134795.1	Pyricularia oryzae	ZJE1	318829	Scaffold	current	2022-09-12	Jilin Academy of Agricultural Sciences		Illumina NovaSeq	short-read	SAMN26750476	Oryza sativa (Jijing 88 variety)		China: Gongzhuling	2016-07-20	37799225	37796917	1004	106112	95	978	114867	89		51.5	ZJE1M_oryza	False	False
GCA_003016245.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050102	Oryza sativa	not collected	China: Hunan	2010	37946895	37931707	2188	103609	100	1957	108101	94		51.5	ASM301624v1	False	False
GCA_003017065.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050138	Oryza sativa	not collected	China: Yunnan	2007	38796913	38750024	2428	102248	101	1869	152858	71		51.5	ASM301706v1	False	False
GCA_024703665.1	Pyricularia oryzae	D1/s53b	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040831	Eleucine coracana	leaf	Uganda:Pallisa	2002	41920817	41919332	823	101478	124	766	108517	116		50	ASM2470366v1	False	False
GCA_052857755.1	Pyricularia oryzae	YN166	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000510	Oryza sativa		China: Yunnan	2007-10-08	35799627	35612876	1531	100419	95	633	278981	34		52	ASM5285775v1	False	False
GCA_024704235.1	Pyricularia oryzae	K7/28w	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040821	Eleusine indica	neck	Kenya:Busia	2002	41361883	41360379	827	100178	124	773	104337	119		50	ASM2470423v1	False	False
GCA_003017125.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050140	Oryza sativa	not collected	China: Yunnan	2008	39311923	39275318	3047	99137	99	2562	133377	77		51	ASM301712v1	False	False
GCA_052856955.1	Pyricularia oryzae	YN406	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000538	Oryza sativa		China: Yunnan	1995-09-15	36370653	36164066	1672	98371	103	630	464992	26		52	ASM5285695v1	False	False
GCA_052856315.1	Pyricularia oryzae	YN634	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000567	Oryza sativa		China: Yunnan	2011-08-12	36495757	36274237	1823	98321	104	621	453351	25		52	ASM5285631v1	False	False
GCA_003017115.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050139	Oryza sativa	not collected	China: Yunnan	2008	38821611	38784397	2296	98154	101	1812	149869	74		51.5	ASM301711v1	False	False
GCA_052856295.1	Pyricularia oryzae	YN635	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000568	Oryza sativa		China: Yunnan	2011-08-12	36487037	36257855	1860	97947	101	630	409053	26		52	ASM5285629v1	False	False
GCA_024704255.1	Pyricularia oryzae	K28/82w	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040820	Eleusine indica	panicle	Kenya:Teso	2002	41929093	41927563	804	97895	127	737	108005	117		50	ASM2470425v1	False	False
GCA_052856515.1	Pyricularia oryzae	YN487	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000554	Oryza sativa		China: Yunnan	1995-09-16	35055396	34857594	1648	97525	98	651	242217	37		52	ASM5285651v1	False	False
GCA_024704225.1	Pyricularia oryzae	K13	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040822	Eleusine coracana subsp. africana	neck	Kenya:Busia	2016	41818156	41817074	877	97358	131	826	101041	125		50	ASM2470422v1	False	False
GCA_002924685.1	Pyricularia oryzae	WBKY11	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Roche 454	short-read	SAMN08009578	Triticum aestivum		USA: Princeton, KY	2011-05	43356274	42814506	923	96532	133	114	3962041	5		50	ASM292468v1	False	False
GCA_052858045.1	Pyricularia oryzae	YN094	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000496	Oryza sativa		China: Yunnan	2007-10-08	36035587	35854283	1517	96117	102	515	417735	28		52	ASM5285804v1	False	False
GCA_003015515.1	Pyricularia oryzae	BJ08-8	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050067	Oryza sativa	not collected	China: Beijing	2011	38584030	38569281	2242	95867	103	2008	108309	96		51.5	ASM301551v1	False	False
GCA_003016265.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050105	Oryza sativa	not collected	China: Jiangsu	2009	38465793	38449629	2356	93782	103	2100	112616	95		51.5	ASM301626v1	False	False
GCA_003016255.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050101	Oryza sativa	not collected	China: Hunan	2009	38108148	38092587	2214	93761	109	1996	95709	105		51.5	ASM301625v1	False	False
GCA_003016635.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050147	Oryza sativa	not collected	China: Zhejiang	2011	38622443	38573140	2137	93690	103	1663	119229	84		51.5	ASM301663v1	False	False
GCA_024703685.1	Pyricularia oryzae	K5/24W	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15098633	Eleusine indica	panicle	Kenya:Busia	2002	41595240	41594404	915	93003	130	868	98454	125		50	ASM2470368v1	False	False
GCA_052857105.1	Pyricularia oryzae	YN365	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000530	Oryza sativa		China: Yunnan	2007-10-08	36587416	36328560	2037	91227	114	584	469949	28		52	ASM5285710v1	False	False
GCA_003017175.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050141	Oryza sativa	not collected	China: Yunnan	2012	39313667	39263374	2790	91013	110	2199	133287	70		51	ASM301717v1	False	False
GCA_003017165.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050143	Oryza sativa	not collected	China: Yunnan	1987	37251599	37213975	1932	90074	115	1498	117106	90		51.5	ASM301716v1	False	False
GCA_024703975.1	Pyricularia oryzae	T6	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15098632	Eleusine coracana	neck	Tanzania: Njombe	2016	41662384	41660456	1231	89522	146	1147	92250	140		50	ASM2470397v1	False	False
GCA_052857295.1	Pyricularia oryzae	YN359	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000529	Oryza sativa		China: Yunnan	2011-08-12	36068171	35895161	1584	89039	116	563	465592	24		52	ASM5285729v1	False	False
GCA_000805855.1	Pyricularia oryzae	98-06	318829	Scaffold	current	2014-12-19	nanjing agriculture university		Illumina HiSeq	short-read	SAMN03010511		field	China	1998	42306689	41294258	1161	88900	136	284	1530397	10		51	ASM80585v1	False	False
GCA_052857165.1	Pyricularia oryzae	YN314	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000525	Oryza sativa		China: Yunnan	1997-09-20	35803303	35645491	1497	88233	109	563	347664	28		52	ASM5285716v1	False	False
GCA_003016655.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050108	Oryza sativa	not collected	China: Jiangxi	2011	38309819	38296415	2298	86067	114	2092	88249	111		51.5	ASM301665v1	False	False
